I_rad,T_out,H_air,T_air,I_rad,T_out,H_air,T_air
0,28.1,73.7,28.8,0,26.8,81.1,26.8
0,28,74.6,28.6,0,26.6,81.8,26.5
0,28,74.8,28.5,0,26.2,83.1,26.4
0,28,74.8,28.3,0,26.2,84.4,26.2
0,27.9,75.5,28.1,0,26,84.7,26.1
0,27.4,77.3,27.9,0,26.1,85.5,25.9
0,27.3,77.7,27.6,0,26,86.1,25.8
0,26.8,78.4,27.5,0,25.8,85.9,25.7
0,26.5,79.4,27.3,0,25.6,86.5,25.7
0,26.7,79.6,27.2,0,25.7,86.2,25.6
0,27,78.9,27.1,0,25.4,86.5,25.5
0,27,80.4,26.9,0,24.9,86.4,25.4
0,26.8,81.1,26.8,0,25.2,86.8,25.3
0,26.6,81.8,26.5,0,25.3,86.5,25.1
0,26.2,83.1,26.4,0,24.8,87,25
0,26.2,84.4,26.2,0,25,87.1,25
0,26,84.7,26.1,0,25,87.1,24.9
0,26.1,85.5,25.9,0,24.7,87.5,24.7
0,26,86.1,25.8,0,24.7,87.7,24.7
0,25.8,85.9,25.7,0,24.5,87.7,24.5
0,25.6,86.5,25.7,0,24.5,88.3,24.4
0,25.7,86.2,25.6,0,24.3,89.1,24.4
0,25.4,86.5,25.5,0,24.4,89.3,24.4
0,24.9,86.4,25.4,0,24.7,89,24.5
0,25.2,86.8,25.3,0,24.7,88.5,24.5
0,25.3,86.5,25.1,0,24.5,88.1,24.5
0,24.8,87,25,0,24.5,89.2,24.5
0,25,87.1,25,0,24.5,88.7,24.5
0,25,87.1,24.9,0,24.6,88.7,24.4
0,24.7,87.5,24.7,0,24.6,89.2,24.3
0,24.7,87.7,24.7,0,24.3,89.6,24.3
0,24.5,87.7,24.5,0,24.4,89.6,24.2
0,24.5,88.3,24.4,0,24.3,89.3,24.1
0,24.3,89.1,24.4,0,23.8,89.6,24.1
0,24.4,89.3,24.4,0,23.9,90.5,24
0,24.7,89,24.5,0,23.6,90.4,24
0,24.7,88.5,24.5,0,23.8,90.1,23.9
0,24.5,88.1,24.5,0,23.5,90.1,23.9
0,24.5,89.2,24.5,0,23.6,90.1,23.9
0,24.5,88.7,24.5,0,23.6,90.5,23.8
0,24.6,88.7,24.4,0.0498,23.7,90.1,23.8
0,24.6,89.2,24.3,0.3735,23.8,90.2,23.8
0,24.3,89.6,24.3,1.2616,23.7,90,23.8
0,24.4,89.6,24.2,2.9548,23.5,90.2,23.8
0,24.3,89.3,24.1,5.2871,23,91.1,23.8
0,23.8,89.6,24.1,8.4494,23.4,90.7,24
0,23.9,90.5,24,13.7697,23.6,90.8,24.1
0,23.6,90.4,24,19.3639,23.7,90.4,24.6
0,23.8,90.1,23.9,25.232,23.9,88.9,25
0,23.5,90.1,23.9,33.6648,24.3,87.7,25.6
0,23.6,90.1,23.9,39.1843,24.7,85.5,26.2
0,23.6,90.5,23.8,47.1357,25.2,84.9,26.9
0.0498,23.7,90.1,23.8,56.9795,25.4,81.4,27.8
0.3735,23.8,90.2,23.8,75.7126,25.9,77.6,28.9
1.2616,23.7,90,23.8,89.8143,26.2,71.9,30.1
2.9548,23.5,90.2,23.8,74.5755,26.6,69.4,31.2
5.2871,23,91.1,23.8,85.4817,27.1,68.3,32.1
8.4494,23.4,90.7,24,93.8149,27.4,64.9,33
13.7697,23.6,90.8,24.1,93.1011,27.8,62.1,33.9
19.3639,23.7,90.4,24.6,100.3719,28.1,59.2,34.8
25.232,23.9,88.9,25,117.7106,28.1,54.3,35.4
33.6648,24.3,87.7,25.6,127.1311,28.4,53.4,35.9
39.1843,24.7,85.5,26.2,197.1748,29.1,52.4,37.2
47.1357,25.2,84.9,26.9,201.2252,29.5,47.6,38.5
56.9795,25.4,81.4,27.8,211.4259,29.3,45.4,39.5
75.7126,25.9,77.6,28.9,226.9967,29.6,41.7,40.4
89.8143,26.2,71.9,30.1,240.9407,30,41.4,41.5
74.5755,26.6,69.4,31.2,256.4119,30.3,40.8,41.6
85.4817,27.1,68.3,32.1,278.2326,30.4,39.6,42
93.8149,27.4,64.9,33,292.9402,30.8,37.2,42.1
93.1011,27.8,62.1,33.9,276.8382,30.3,38,41.5
100.3719,28.1,59.2,34.8,315.4498,30.5,38.9,41.9
117.7106,28.1,54.3,35.4,337.5693,30.9,38.3,42.3
127.1311,28.4,53.4,35.9,328.8128,31.2,36,43.8
197.1748,29.1,52.4,37.2,337.7768,32.1,34.5,44.8
201.2252,29.5,47.6,38.5,363.291,31.6,33.4,44.9
211.4259,29.3,45.4,39.5,357.1407,32.4,33.5,45.4
226.9967,29.6,41.7,40.4,330.2321,32.9,32.2,45.3
240.9407,30,41.4,41.5,189.987,32.9,32.5,44.9
256.4119,30.3,40.8,41.6,183.5047,32.6,33.4,44.6
278.2326,30.4,39.6,42,164.2155,32.8,34.7,44
292.9402,30.8,37.2,42.1,154.6954,33,36.1,44
276.8382,30.3,38,41.5,151.4584,33.5,34.8,44.2
315.4498,30.5,38.9,41.9,150.0391,32.7,34.2,43.9
