Irad,Tout,Hair,Tair,Irad,Tout,Hair,Tair
182.806,33.3,50.2,38.5,74.497,35.4,46.9,39.4
137.0729,33.5,48.4,38.9,83.8506,36.2,48.9,38.6
99.2161,33.7,50.1,38.8,85.2963,36,49.5,38.3
153.4575,34,49.9,38.4,100.1088,37.2,50.4,38.3
176.802,34,48.1,39,172.2042,36.6,50.1,38.7
176.9284,34.1,48.9,39.1,170.6637,36.6,47.2,39.8
95.4636,34.6,47.7,38.8,91.3161,35.9,47.5,39.9
181.1628,34.4,49.9,38.9,55.1262,35.8,47.6,39.2
152.4463,33.8,48,39.1,57.1012,35.2,50.1,38.5
178.4452,34.2,46.2,39.6,45.5119,34.8,52.4,37.7
161.3812,34.9,46.6,39.7,43.8529,36.3,55.4,36.7
151.4825,35.3,44.4,40.6,46.1834,37.1,57.3,36.1
74.497,35.4,46.9,39.4,44.5718,38.1,59,35.7
83.8506,36.2,48.9,38.6,42.7153,37.5,60.7,35.3
85.2963,36,49.5,38.3,38.4967,36.2,62,34.7
100.1088,37.2,50.4,38.3,37.5882,35.6,63.3,34.5
172.2042,36.6,50.1,38.7,36.3084,34.8,64.4,34.2
170.6637,36.6,47.2,39.8,36.498,33.9,64.5,34
91.3161,35.9,47.5,39.9,36.3558,33.1,65.1,33.8
55.1262,35.8,47.6,39.2,36.1109,32.9,65.5,33.6
57.1012,35.2,50.1,38.5,34.286,32.5,65.5,33.6
45.5119,34.8,52.4,37.7,33.6777,32.4,66.1,33.5
43.8529,36.3,55.4,36.7,32.232,32,65.8,33.4
46.1834,37.1,57.3,36.1,23.5815,31.6,65.6,33.3
44.5718,38.1,59,35.7,17.538,31.6,65.7,33
42.7153,37.5,60.7,35.3,12.4978,31.5,67.3,32.4
38.4967,36.2,62,34.7,9.8276,31.6,67.6,32.1
37.5882,35.6,63.3,34.5,8.3108,31.4,68.5,31.7
36.3084,34.8,64.4,34.2,4.6452,31.5,69.7,31.3
36.498,33.9,64.5,34,1.8486,31.6,70.8,31
36.3558,33.1,65.1,33.8,0.4266,31.3,71.2,30.7
36.1109,32.9,65.5,33.6,0.0948,30.3,71.5,30.5
34.286,32.5,65.5,33.6,0,30.1,71.5,30.3
33.6777,32.4,66.1,33.5,0,29.9,72,30.1
32.232,32,65.8,33.4,0,29.5,72.1,30
23.5815,31.6,65.6,33.3,0,29.2,72.4,29.9
17.538,31.6,65.7,33,0,29.1,72.7,29.9
12.4978,31.5,67.3,32.4,0,28.9,73.5,29.7
9.8276,31.6,67.6,32.1,0,28.8,73.4,29.8
8.3108,31.4,68.5,31.7,0,28.6,74,29.9
4.6452,31.5,69.7,31.3,0,28.5,74,29.9
1.8486,31.6,70.8,31,0,28.5,75.1,29.9
0.4266,31.3,71.2,30.7,0,28.5,75.6,29.9
0.0948,30.3,71.5,30.5,0,28.8,74.7,29.9
0,30.1,71.5,30.3,0,28.9,74.6,29.8
0,29.9,72,30.1,0,28.9,74.7,29.7
0,29.5,72.1,30,0,29,74.4,29.6
0,29.2,72.4,29.9,0,29.1,73.2,29.6
0,29.1,72.7,29.9,0,28.9,73.8,29.6
0,28.9,73.5,29.7,0,28.7,74.6,29.4
0,28.8,73.4,29.8,0,28.6,74.9,29.4
0,28.6,74,29.9,0,28.7,74.9,29.3
0,28.5,74,29.9,0,28.6,75.8,29.2
0,28.5,75.1,29.9,0,28.6,74.9,29.2
0,28.5,75.6,29.9,0,28.4,75.6,29.2
0,28.8,74.7,29.9,0,28.4,76.6,29.2
0,28.9,74.6,29.8,0,28.5,77.2,29.1
0,28.9,74.7,29.7,0,28.5,77.7,29
0,29,74.4,29.6,0,28.5,78.1,28.8
0,29.1,73.2,29.6,0,28.4,78,28.8
0,28.9,73.8,29.6,0,28.4,78.5,28.6
0,28.7,74.6,29.4,0,28.1,79,28.6
0,28.6,74.9,29.4,0,28.1,80,28.4
0,28.7,74.9,29.3,0,28.1,79.4,28.4
0,28.6,75.8,29.2,0,27.8,79,28.4
0,28.6,74.9,29.2,0,27.6,78.5,28.4
0,28.4,75.6,29.2,0,27.5,77.9,28.5
0,28.4,76.6,29.2,0,27.5,78.9,28.4
0,28.5,77.2,29.1,0,27.4,78,28.6
0,28.5,77.7,29,0,27.3,78.6,28.5
0,28.5,78.1,28.8,0,27.4,79.8,28.4
0,28.4,78,28.8,0,27.4,79.8,28.2
0,28.4,78.5,28.6,0,27.5,79.7,28.3
0,28.1,79,28.6,0,27.7,80.6,28.3
0,28.1,80,28.4,0,27.7,81.5,28
0,28.1,79.4,28.4,0,27.2,82.4,27.9
0,27.8,79,28.4,0,27.3,82.3,27.9
0,27.6,78.5,28.4,0,27.6,82,28.1
0,27.5,77.9,28.5,0,27.6,82.7,27.7
0,27.5,78.9,28.4,0,27,83,27.7
0,27.4,78,28.6,0,26.6,83.2,27.6
0,27.3,78.6,28.5,0,26.3,84.3,27.6
0,27.4,79.8,28.4,0,26.5,84.1,27.5
0,27.4,79.8,28.2,0,26.6,84.9,27.5
0,27.5,79.7,28.3,0,26.7,84.1,27.5
0,27.7,80.6,28.3,0,26.8,85,27.4
0,27.7,81.5,28,0,26.3,84.8,27.4
0,27.2,82.4,27.9,0,26.7,84.5,27.3
0,27.3,82.3,27.9,0,26.5,83.5,27.3
0,27.6,82,28.1,0,26.5,83.2,27.2
0,27.6,82.7,27.7,0,26.4,83.7,27.2
0,27,83,27.7,0,26.2,83.3,27.2
0,26.6,83.2,27.6,0,26.3,83.1,27.1
0,26.3,84.3,27.6,0.0474,26.4,83.4,27.1
